,Titre comment,Date de réponse,Reponse ou non,Liste peronnes,Nombre d'étoile
2314,Vêtements sois disant en promotion mais…,27 octobre 2021,True,Showroomprive.com,1
2315,Faites bien vos comptes !!,27 octobre 2021,True,Showroomprive.com,2
2316,Procédé malhonnête pour contraindre les…,27 octobre 2021,True,Showroomprive.com,1
2317,Pour retourner un produit,27 octobre 2021,True,Showroomprive.com,1
2318,"Incompétents, radins et injustes comme d'habitude",26 octobre 2021,True,Showroomprive.com,1
2319,lamentable !,26 octobre 2021,True,Showroomprive.com,1
2320,Mauvais service après vente,25 octobre 2021,True,Showroomprive.com,1
2321,Ce n'est plus ce que c'était.,25 octobre 2021,True,Showroomprive.com,1
2322,commande non honorée,24 octobre 2021,True,Showroomprive.com,1
2323,Si vous voulez vous faire avoir allez sur ce site,23 octobre 2021,True,Showroomprive.com,1
